id,JobId,WorkTypeId
wtj-000001,job-00001,work-on-site
wtj-000002,job-00002,work-on-site
wtj-000003,job-00003,work-on-site
wtj-000004,job-00004,work-on-site
wtj-000005,job-00005,work-on-site
wtj-000006,job-00006,work-on-site
wtj-000007,job-00007,work-on-site
wtj-000008,job-00008,work-on-site
wtj-000009,job-00009,work-on-site
wtj-000010,job-00010,work-on-site
wtj-000011,job-00011,work-on-site
wtj-000012,job-00012,work-on-site
wtj-000013,job-00013,work-on-site
wtj-000014,job-00014,work-on-site
wtj-000015,job-00015,work-on-site
wtj-000016,job-00016,work-on-site
wtj-000017,job-00017,work-on-site
wtj-000018,job-00018,work-on-site
wtj-000019,job-00019,work-on-site
wtj-000020,job-00020,work-on-site
wtj-000021,job-00021,work-on-site
wtj-000022,job-00022,work-on-site
wtj-000023,job-00023,work-on-site
wtj-000024,job-00024,work-on-site
wtj-000025,job-00025,work-on-site
wtj-000026,job-00026,work-on-site
wtj-000027,job-00027,work-on-site
wtj-000028,job-00028,work-on-site
wtj-000029,job-00029,work-on-site
wtj-000030,job-00030,work-on-site
wtj-000031,job-00031,work-on-site
wtj-000032,job-00032,work-on-site
wtj-000033,job-00033,work-on-site
wtj-000034,job-00034,work-on-site
wtj-000035,job-00035,work-on-site
wtj-000036,job-00036,work-on-site
wtj-000037,job-00037,work-on-site
wtj-000038,job-00038,work-on-site
wtj-000039,job-00039,work-on-site
wtj-000040,job-00040,work-on-site
wtj-000041,job-00041,work-on-site
wtj-000042,job-00042,work-on-site
wtj-000043,job-00043,work-on-site
wtj-000044,job-00044,work-on-site
wtj-000045,job-00045,work-on-site
wtj-000046,job-00046,work-on-site
wtj-000047,job-00047,work-on-site
wtj-000048,job-00048,work-on-site
wtj-000049,job-00049,work-on-site
wtj-000050,job-00050,work-on-site
wtj-000051,job-00051,work-on-site
wtj-000052,job-00052,work-on-site
wtj-000053,job-00053,work-on-site
wtj-000054,job-00054,work-on-site
wtj-000055,job-00055,work-on-site
wtj-000056,job-00056,work-on-site
wtj-000057,job-00057,work-on-site
wtj-000058,job-00058,work-on-site
wtj-000059,job-00059,work-on-site
wtj-000060,job-00060,work-on-site
wtj-000061,job-00061,work-on-site
wtj-000062,job-00062,work-on-site
wtj-000063,job-00063,work-on-site
wtj-000064,job-00064,work-on-site
wtj-000065,job-00065,work-on-site
wtj-000066,job-00066,work-on-site
wtj-000067,job-00067,work-on-site
wtj-000068,job-00068,work-on-site
wtj-000069,job-00069,work-on-site
wtj-000070,job-00070,work-on-site
wtj-000071,job-00071,work-on-site
wtj-000072,job-00072,work-on-site
wtj-000073,job-00073,work-on-site
wtj-000074,job-00074,work-on-site
wtj-000075,job-00075,work-on-site
wtj-000076,job-00076,work-on-site
wtj-000077,job-00077,work-on-site
wtj-000078,job-00078,work-on-site
wtj-000079,job-00079,work-on-site
wtj-000080,job-00080,work-on-site
wtj-000081,job-00081,work-on-site
wtj-000082,job-00082,work-on-site
wtj-000083,job-00083,work-on-site
wtj-000084,job-00084,work-on-site
wtj-000085,job-00085,work-on-site
wtj-000086,job-00086,work-on-site
wtj-000087,job-00087,work-on-site
wtj-000088,job-00088,work-on-site
wtj-000089,job-00089,work-on-site
wtj-000090,job-00090,work-on-site
wtj-000091,job-00091,work-on-site
wtj-000092,job-00092,work-on-site
wtj-000093,job-00093,work-on-site
wtj-000094,job-00094,work-on-site
wtj-000095,job-00095,work-on-site
wtj-000096,job-00096,work-on-site
wtj-000097,job-00097,work-on-site
wtj-000098,job-00098,work-on-site
wtj-000099,job-00099,work-on-site
wtj-000100,job-00100,work-on-site
wtj-000101,job-00101,work-on-site
wtj-000102,job-00102,work-on-site
wtj-000103,job-00103,work-on-site
wtj-000104,job-00104,work-on-site
wtj-000105,job-00105,work-on-site
wtj-000106,job-00106,work-on-site
wtj-000107,job-00107,work-on-site
wtj-000108,job-00108,work-on-site
wtj-000109,job-00109,work-on-site
wtj-000110,job-00110,work-on-site
wtj-000111,job-00111,work-on-site
wtj-000112,job-00112,work-on-site
wtj-000113,job-00113,work-on-site
wtj-000114,job-00114,work-on-site
wtj-000115,job-00115,work-on-site
wtj-000116,job-00116,work-on-site
wtj-000117,job-00117,work-on-site
wtj-000118,job-00118,work-on-site
wtj-000119,job-00119,work-on-site
wtj-000120,job-00120,work-on-site
wtj-000121,job-00121,work-on-site
wtj-000122,job-00122,work-on-site
wtj-000123,job-00123,work-on-site
wtj-000124,job-00124,work-on-site
wtj-000125,job-00125,work-on-site
wtj-000126,job-00126,work-on-site
wtj-000127,job-00127,work-on-site
wtj-000128,job-00128,work-on-site
wtj-000129,job-00129,work-on-site
wtj-000130,job-00130,work-on-site
wtj-000131,job-00131,work-on-site
wtj-000132,job-00132,work-on-site
wtj-000133,job-00133,work-on-site
wtj-000134,job-00134,work-on-site
wtj-000135,job-00135,work-on-site
wtj-000136,job-00136,work-on-site
wtj-000137,job-00137,work-on-site
wtj-000138,job-00138,work-on-site
wtj-000139,job-00139,work-on-site
wtj-000140,job-00140,work-on-site
wtj-000141,job-00141,work-on-site
wtj-000142,job-00142,work-on-site
wtj-000143,job-00143,work-on-site
wtj-000144,job-00144,work-on-site
wtj-000145,job-00145,work-on-site
wtj-000146,job-00146,work-on-site
wtj-000147,job-00147,work-on-site
wtj-000148,job-00148,work-on-site
wtj-000149,job-00149,work-on-site
wtj-000150,job-00150,work-on-site
wtj-000151,job-00151,work-on-site
wtj-000152,job-00152,work-on-site
wtj-000153,job-00153,work-on-site
wtj-000154,job-00154,work-on-site
wtj-000155,job-00155,work-on-site
wtj-000156,job-00156,work-on-site
wtj-000157,job-00157,work-on-site
wtj-000158,job-00158,work-on-site
wtj-000159,job-00159,work-on-site
